time,incoming_signal,delayed_response,delay_tau,temporal_boundary_error,rolling_tbe,recovery_pressure,temporal_state,state_numeric
65,0.2771150919582505,0.5044084155718964,4,0.2272933236136459,0.4738943103526331,0.5792041570976627,synchronized,1
66,0.02644573156976953,0.497917063500749,4,0.47147133193097945,0.44056232052130556,0.5384650584149291,synchronized,1
67,-0.023842889297185935,0.4733927972729321,4,0.497235686570118,0.40789206256040433,0.4985347431293831,synchronized,1
68,-0.20854961629780294,0.4574643600682523,4,0.6660139763660553,0.3902809406506414,0.47701003857300617,synchronized,1
69,-0.4166288248755529,0.43041196985175206,4,0.847040794727305,0.38791574919600913,0.47411924901734454,synchronized,1
70,-0.45510946244869666,0.3698170341094547,4,0.8249264965581513,0.41776919018754877,0.5106067880070041,synchronized,1
71,-0.468896449217973,0.3107680455984586,4,0.7796644948164316,0.46018860113560117,0.5624527347212903,synchronized,1
72,-0.6893192072093133,0.2328703963140194,4,0.9221896035233327,0.5452470435857417,0.6664130532714622,synchronized,1
73,-0.6403430522837437,0.16665739442224606,5,0.8070004467059897,0.6155521496952602,0.7865388579439435,synchronized,1
74,-1.0369702477906932,0.07916446152757622,5,1.1161347093182694,0.7158970864130278,0.9147573881944244,synchronized,1
75,-0.8049463356769299,-0.0009766270688647133,5,0.8039697086080652,0.7735647249124697,0.9884438151659335,synchronized,1
76,-0.8874698955796791,-0.07116460039123096,5,0.8163052951884482,0.8080481212382166,1.0325059326932766,synchronized,1
77,-0.9219107945879729,-0.1638877914139433,5,0.7580230031740296,0.8341268528986078,1.0658287564815543,synchronized,1
78,-0.8738326103596988,-0.23535608054441337,5,0.6384765298152855,0.831373108243531,1.0623100827556229,synchronized,1
79,-1.0032093465078518,-0.35559820563135536,5,0.6476111408764964,0.81143014285845,1.036827404763575,synchronized,1
80,-0.805285999445448,-0.42300042513819147,5,0.3822855743072565,0.7671660506333604,0.9802677313648493,synchronized,1
81,-0.684158401248062,-0.49267084570441466,5,0.19148755554364738,0.7083483567060821,0.9051117891244381,synchronized,1
82,-0.5024232466380769,-0.5518907031857043,6,0.04946745654762741,0.6210761420085116,0.8281015226780154,synchronized,1
83,-0.5547095546920505,-0.6073937168960446,6,0.05268416220399408,0.545644513558312,0.7275260180777493,synchronized,1
84,-0.45725240623188995,-0.6473595509155927,6,0.19010714468370277,0.45304175709485534,0.6040556761264737,synchronized,1
