step,time_hours,x_m,y_m,corridor_center_y_m,corridor_error_m,vx_m_s,vy_m_s,speed_m_s,distance_to_earth_m,distance_to_moon_m,boundary_pressure,status
52,8.666666666666666,512541.64910520567,141502.3158521347,117287.68568336271,24214.630168771982,1204.923542102268,332.6548627146835,1250.0000000000002,531715.9462147069,383887484.4300285,0.16674504274139818,STABLE_CORRIDOR
53,8.833333333333334,-210412.47498598497,-58090.60601519843,0.0,-58090.60601519843,-1204.9235401519843,-332.65486977888855,1250.0,218284.05378529316,384610416.8619167,0.1662467125646996,STABLE_CORRIDOR
54,9.0,512541.64625480026,141502.32617671075,117287.68503109277,24214.641145617978,1204.9235354013088,332.6548869865153,1250.0,531715.9462147069,383887484.4328827,0.16674505012537416,STABLE_CORRIDOR
55,9.166666666666666,-210412.4738158147,-58090.61025372188,0.0,-58090.61025372188,-1204.923533451025,-332.65489405072105,1249.9999999999998,218284.0537852931,384610416.8607472,0.1662467200235396,STABLE_CORRIDOR
56,9.333333333333334,512541.6434043944,141502.33650128765,117287.68437882277,24214.652122464875,1204.9235287003485,332.6549112583492,1250.0,531715.9462147069,383887484.43573695,0.1667450575093507,STABLE_CORRIDOR
57,9.5,-210412.47264564445,-58090.6144922456,0.0,-58090.6144922456,-1204.9235267500646,-332.65491832255543,1250.0,218284.0537852932,384610416.85957766,0.1662467274823803,STABLE_CORRIDOR
58,9.666666666666666,512541.64055398805,141502.34682586513,117287.68372655261,24214.663099312515,1204.9235219993875,332.65493553018456,1250.0,531715.9462147068,383887484.4385911,0.16674506489332783,STABLE_CORRIDOR
59,9.833333333333334,-210412.47147547407,-58090.61873076967,0.0,-58090.61873076967,-1204.9235200491034,-332.65494259439134,1250.0,218284.05378529336,384610416.85840815,0.1662467349412215,STABLE_CORRIDOR
60,10.0,512541.63770358125,141502.35715044336,117287.6830742824,24214.67407616097,1204.9235152984256,332.6549598020217,1250.0,531715.9462147066,383887484.44144535,0.16674507227730542,STABLE_CORRIDOR
61,10.166666666666666,-210412.47030530358,-58090.622969294054,0.0,-58090.622969294054,-1204.9235133481413,-332.654966866229,1250.0000000000002,218284.05378529357,384610416.85723865,0.1662467424000632,STABLE_CORRIDOR
62,10.333333333333334,512541.63485317386,141502.36747502236,117287.68242201203,24214.685053010326,1204.9235085974624,332.6549840738607,1249.9999999999998,531715.9462147063,383887484.4442995,0.1667450796612836,STABLE_CORRIDOR
63,10.5,-210412.46913513285,-58090.6272078187,0.0,-58090.6272078187,-1204.9235066471779,-332.65499113806845,1250.0,218284.0537852937,384610416.856069,0.16624674985890556,STABLE_CORRIDOR
64,10.666666666666666,512541.63200276624,141502.37779960202,117287.6817697416,24214.696029860424,1204.9235018964985,332.6550083457012,1249.9999999999998,531715.9462147062,383887484.44715375,0.16674508704526236,STABLE_CORRIDOR
65,10.833333333333334,-210412.4679649619,-58090.63144634364,0.0,-58090.63144634364,-1204.9234999462135,-332.6550154099094,1250.0,218284.05378529383,384610416.8548995,0.1662467573177484,STABLE_CORRIDOR
66,11.0,512541.6291523583,141502.38812418244,117287.68111747112,24214.707006711324,1204.9234951955336,332.6550326175435,1250.0,531715.9462147062,383887484.450008,0.16674509442924165,STABLE_CORRIDOR
67,11.166666666666666,-210412.46679479082,-58090.635684868845,0.0,-58090.635684868845,-1204.9234932452484,-332.65503968175216,1250.0000000000002,218284.05378529395,384610416.85373,0.16624676477659184,STABLE_CORRIDOR
68,11.333333333333334,512541.6263019497,141502.39844876347,117287.6804652005,24214.71798356298,1204.9234884945677,332.6550568893872,1250.0,531715.946214706,383887484.4528622,0.16674510181322147,STABLE_CORRIDOR
69,11.5,-210412.4656246195,-58090.63992339434,0.0,-58090.63992339434,-1204.923486544282,-332.65506395359637,1250.0,218284.05378529406,384610416.8525605,0.1662467722354357,STABLE_CORRIDOR
70,11.666666666666666,512541.62345154095,141502.40877334526,117287.6798129298,24214.728960415465,1204.9234817936008,332.65508116123266,1250.0,531715.9462147059,383887484.45571643,0.1667451091972018,STABLE_CORRIDOR
71,11.833333333333334,-210412.46445444797,-58090.64416192012,0.0,-58090.64416192012,-1204.923479843315,-332.6550882254423,1250.0,218284.05378529406,384610416.85139096,0.1662467796942802,STABLE_CORRIDOR
72,12.0,512541.6206011317,141502.41909792778,117287.679160659,24214.73993726878,1204.9234750926328,332.6551054330798,1250.0,531715.9462147059,383887484.45857066,0.16674511658118266,STABLE_CORRIDOR
73,12.166666666666666,-210412.4632842763,-58090.64840044617,0.0,-58090.64840044617,-1204.9234731423467,-332.6551124972899,1250.0,218284.05378529415,384610416.8502214,0.16624678715312521,STABLE_CORRIDOR
74,12.333333333333334,512541.6177507221,141502.42942251096,117287.67850838813,24214.750914122837,1204.923468391664,332.6551297049285,1250.0,531715.9462147059,383887484.4614249,0.1667451239651641,STABLE_CORRIDOR
75,12.5,-210412.46211410442,-58090.652638972504,0.0,-58090.652638972504,-1204.9234664413775,-332.6551367691391,1250.0,218284.05378529415,384610416.8490519,0.16624679461197076,STABLE_CORRIDOR
76,12.666666666666666,512541.61490031204,141502.4397470948,117287.67785611714,24214.76189097765,1204.923461690694,332.6551539767788,1250.0,531715.9462147058,383887484.46427906,0.16674513134914604,STABLE_CORRIDOR
77,12.833333333333334,-210412.4609439324,-58090.65687749913,0.0,-58090.65687749913,-1204.9234597404075,-332.65516104098987,1250.0,218284.0537852942,384610416.84788233,0.16624680207081682,STABLE_CORRIDOR
78,13.0,512541.61204990174,141502.45007167943,117287.6772038461,24214.772867833322,1204.9234549897235,332.65517824863093,1250.0000000000002,531715.946214706,383887484.4671333,0.16674513873312846,STABLE_CORRIDOR
79,13.166666666666666,-210412.45977376006,-58090.66111602596,0.0,-58090.66111602596,-1204.9234530394363,-332.6551853128423,1250.0,218284.0537852941,384610416.8467128,0.16624680952966348,STABLE_CORRIDOR
80,13.333333333333334,512541.60919949075,141502.46039626468,117287.67655157488,24214.783844689795,1204.9234482887514,332.6552025204844,1250.0,531715.9462147058,383887484.4699875,0.1667451461171115,STABLE_CORRIDOR
81,13.5,-210412.4586035877,-58090.6653545532,0.0,-58090.6653545532,-1204.9234463384641,-332.6552095846965,1250.0,218284.05378529415,384610416.84554327,0.1662468169885106,STABLE_CORRIDOR
82,13.666666666666666,512541.6063490794,141502.4707208507,117287.67589930363,24214.794821547053,1204.9234415877786,332.6552267923398,1250.0,531715.9462147058,383887484.47284174,0.166745153501095,STABLE_CORRIDOR
