t,stability_S,energy_margin_E,raw_risk,risk_control_R,goal_alignment_G,correction_cost_C,variance_V,uncertainty_U,weight_stability_Ws,weight_energy_We,weight_risk_Wr,weight_goal_Wg,mission_control_score,control_state,control_action,control_state_number
95,0.6072934637425366,0.5930975546975695,0.1481623836026366,0.8518376163973634,0.9136189524599596,0.3645512259077949,0.08972323177024302,0.39917232520535645,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3997070644953391,protect,reduce_speed_or_load,2
96,0.6541212750362764,0.5807674748062127,0.20542955833759657,0.7945704416624034,0.9455575947404384,0.3767114008763998,0.1074154180122476,0.40880133775703553,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3923723689506697,protect,reduce_speed_or_load,2
97,0.6554927811096481,0.5900410807346944,0.21556781808223824,0.7844321819177618,0.954615168884659,0.40100356731131853,0.1023861308204163,0.3814190175128707,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3951420925291876,protect,reduce_speed_or_load,2
98,0.6507794665096425,0.603746276548287,0.15668697806937515,0.8433130219306249,0.9347942387090137,0.37262843849123567,0.0876104022773728,0.387094312521075,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.4100903007761247,protect,reduce_speed_or_load,2
99,0.6459376485326148,0.5869089995404644,0.220141382878633,0.7798586171213671,0.9505049077878872,0.37831787810121903,0.09903153004800602,0.3989276621500568,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.39404302369251226,protect,reduce_speed_or_load,2
100,0.6170636477181701,0.5832184457237064,0.1983921411794515,0.8016078588205485,0.9146178889255872,0.40289187583619007,0.09454500293096521,0.39431538749799344,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3848735010421366,protect,reduce_speed_or_load,2
101,0.6421015102473108,0.6035500274607603,0.17836705793406937,0.8216329420659306,0.9486416603155858,0.32180511747358276,0.09383620104239605,0.40402403148638394,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.4137121279077407,protect,reduce_speed_or_load,2
102,0.6437716485077849,0.6048630661981523,0.20378278990934012,0.7962172100906599,0.961647721425388,0.4012550489447284,0.09454714327254748,0.38045492388021684,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.399710755470101,protect,reduce_speed_or_load,2
103,0.6315824802051354,0.5927248303629943,0.2443028611633606,0.7556971388366394,0.9033535738318805,0.3668607250763182,0.09235607061236124,0.39581792578527764,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3878137344378119,protect,reduce_speed_or_load,2
104,0.6465083001972698,0.5948348151458145,0.19198365828367372,0.8080163417163263,0.8963682493707288,0.36923767963055665,0.08766868910346577,0.4106195338800168,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3940771663480966,protect,reduce_speed_or_load,2
105,0.6591636824176835,0.6089837090162118,0.19385106860058338,0.8061489313994166,0.9287434765196533,0.3513960845301964,0.08776387463031958,0.3671969108154817,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.41509357258741203,protect,reduce_speed_or_load,2
106,0.6943761508785019,0.5802273919165303,0.1766620269485737,0.8233379730514263,0.9253968058226596,0.32936464472673654,0.08820069956276115,0.3797508542488165,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.42062362705476813,protect,reduce_speed_or_load,2
107,0.6493945626407226,0.5824022347203253,0.16768387515436978,0.8323161248456302,0.8772128452089,0.38778378841873706,0.1010787664638702,0.40272012960735803,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3888924230296739,protect,reduce_speed_or_load,2
108,0.6489355880021195,0.5961725962287932,0.21075349617880018,0.7892465038211998,0.872869658601624,0.37242697371279654,0.09765789263242375,0.4292748735220753,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3824446820894377,protect,reduce_speed_or_load,2
109,0.6377653310462226,0.6065239656623347,0.16994281814840412,0.8300571818515958,0.8689839082123654,0.3782679458810776,0.11479052799307143,0.4129745385671879,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.38600143267194603,protect,reduce_speed_or_load,2
110,0.5884510924257705,0.6170888263835629,0.1947773448880907,0.8052226551119093,0.8408245704954411,0.39787276482257095,0.10954319161687975,0.4262150504023354,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.36824581579460974,protect,reduce_speed_or_load,2
111,0.632213706332204,0.6390148196851058,0.1829969512902471,0.8170030487097529,0.8421880506490215,0.3869045508966578,0.12038957253361038,0.42301048378490297,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.37931010145713734,protect,reduce_speed_or_load,2
112,0.630495909135445,0.6286788867920827,0.20918758843023508,0.7908124115697649,0.8330860134287894,0.38873437686529067,0.14351531040821763,0.4434526580527925,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3645468071243742,protect,reduce_speed_or_load,2
113,0.6863348588103397,0.6109415627540272,0.2081749779319417,0.7918250220680583,0.8301886152183017,0.34271488655489796,0.13855821315064348,0.41452769756326513,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3852249396127379,protect,reduce_speed_or_load,2
114,0.6153490657743284,0.6138374770185542,0.228761946114739,0.771238053885261,0.8370035615259483,0.4173039805125202,0.1471483230224643,0.42562148925621096,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3560227745405242,protect,reduce_speed_or_load,2
115,0.6227307043551172,0.5962592656678698,0.19345914939844747,0.8065408506015526,0.8343214692519374,0.376381641655655,0.14159139098573328,0.39620553069631304,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.37350007993524964,protect,reduce_speed_or_load,2
116,0.6089757653907916,0.6138508283437912,0.20327300746161225,0.7967269925383877,0.8523860229505744,0.3656180973633396,0.14370509047669647,0.3983522602672192,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.37594885534065664,protect,reduce_speed_or_load,2
117,0.574883190418606,0.6086127847375592,0.18981452497110896,0.810185475028891,0.7929599456882892,0.3945789627342981,0.14439026776439917,0.43776792846865586,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.35231957220981414,protect,reduce_speed_or_load,2
118,0.6265197846078825,0.6189808503287603,0.20792307629072143,0.7920769237092786,0.823991577339965,0.4154715424934531,0.13676695887028492,0.4088686006107393,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3646264653914935,protect,reduce_speed_or_load,2
119,0.6101771101457522,0.5973792537387483,0.23372215340777844,0.7662778465922215,0.7912472243289218,0.4182277785931462,0.1464017820612125,0.4390305220029771,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.34492387859940243,recover,recovery_maneuver,1
120,0.6041537583418849,0.6204467743980454,0.2490144727320928,0.7509855272679072,0.7856219020208745,0.40383046468501194,0.15365388451136244,0.44433527603240197,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3445025007510783,recover,recovery_maneuver,1
121,0.5542028028129091,0.6372476734513458,0.21340338247954585,0.7865966175204542,0.7910745071861519,0.4114053786468175,0.12834650927642793,0.45838040665935975,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.34588740037352095,recover,recovery_maneuver,1
122,0.6041201486185092,0.6059917485695223,0.2651573894601835,0.7348426105398165,0.7459958314372372,0.4094952772303123,0.13976431827712021,0.45731044572768875,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3351820229288338,recover,recovery_maneuver,1
123,0.5256656870326091,0.6132042519711907,0.2848810017598092,0.7151189982401909,0.7669003002193118,0.4887904231948426,0.13199020883433096,0.4881324665422228,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.30278041699239727,recover,recovery_maneuver,1
124,0.5665927045257722,0.6161557357293164,0.26952896170301804,0.7304710382969819,0.7533391551136268,0.4378188781653404,0.15558247825348948,0.46785197055506716,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.32295235538680395,recover,recovery_maneuver,1
125,0.5974420239972205,0.5940101419452185,0.314958597352006,0.6850414026479941,0.7506018179416926,0.4414995316831374,0.1651220760841515,0.43016916536318617,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.3220538773966956,recover,recovery_maneuver,1
126,0.5082330837392462,0.602508244610646,0.2581889762166059,0.7418110237833941,0.7372939912115429,0.4680370027409735,0.18598915816365238,0.4705964018171141,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.29663081670074737,recover,recovery_maneuver,1
127,0.5087223106253467,0.5956919898373477,0.2565622503648889,0.7434377496351111,0.7714219453358306,0.45308364694160996,0.17463687504407566,0.4790781691545229,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.3021142455169861,recover,recovery_maneuver,1
128,0.5148373794217248,0.5939677232565268,0.253998944078933,0.746001055921067,0.700448097094522,0.4409786993002305,0.17336752997847685,0.47366980953843396,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.2988517723074497,recover,recovery_maneuver,1
129,0.48882935144550815,0.5747986379375627,0.347285672104768,0.652714327895232,0.6935873074564277,0.481841964240703,0.18748384361229292,0.5375900927716161,0.3488372093023256,0.20930232558139536,0.23255813953488372,0.20930232558139536,0.26634092602520704,recover,recovery_maneuver,1
